Parameter,March,April,May,June,July,August,September,October,November,December,January,February
Temp,7,12,14,21,24,17,26,19,14,4,1,7
pH,7.3,7.6,7,7,7.2,7,7.1,7.6,7,7.4,7.7,6.9
DO,7,7.6,2.9,3.2,5.5,2.4,3.3,4.3,6,7.6,6.6,7.1
DoSat,63,6.7,27,32,62,23,38,45,56,57,46,58
Conductivity ,105,61,320,135,140,95,120,120,170,160,190,200
Turbitity,23,210,26,38,39,26,29,35,52,88,158,101
Alkalinity,28,24,60,43,54,37,30,37,37,37,35,35
CO2,5,43,11,7,5,6,3,1,7,2,1,7
Ammonia,0.22,2,0.41,1.28,0.6,0.78,0.73,0.55,0.91,1.28,1.73,1.28
Nitrate ,0,0.26,0.39,0.73,0.85,0.58,0.55,0.64,0.79,1.13,0.99,0.95
Nitrite ,0.002,0,0.039,0.043,0.023,0.013,0.017,0.017,0.03,0.058,0.09,0.058
OrthoP,0.38,0.3,0.28,1.49,0.5,0.91,0.7,0.18,0.2,0.25,0.27,0.41
